Occupation,Owns_House,Relationship_Type_Pookie,Family_Structure,Number_of_Vehicles_Owned,Gym_Category,Owns_Land,Land_Legal_Dispute,Personality_Type,Rural_or_Urban_Background,Education_Level,Age,Yearly_Inhand_Income_INR,Savings_in_Lakhs,Dahej_Category
Private Job,No,Not Pookie,Joint,1,Obese,Yes,No,Virus,Gaon ka Chhora,12th Pass,28,2792278.0,42.39,1
Business,Yes,Not Pookie,Joint,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,27,34508.0,1.21,4
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,24,0.0,0.0,0
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,24,10081648.0,122.95,3
Private Job,Yes,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,24,3721094.0,48.14,1
Self-employed,No,Not Pookie,Nuclear,2,Passionate,No,Yes,Chill,Shehr ka Launda,10th Pass,28,7882892.0,80.5,3
Private Job,Yes,Not Pookie,Alone,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,33,12383829.0,175.39,5
Private Job,No,Not Pookie,Nuclear,6,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,25,34860273.0,445.53,7
Government Job,Yes,Not Pookie,Nuclear,8,Optional,No,No,Chill,Shehr ka Launda,Graduate+,32,44681616.0,575.65,10
Private Job,Yes,Not Pookie,Joint,0,Optional,No,Yes,Virus,Shehr ka Launda,12th Pass,27,71400.0,2.16,0
Private Job,Yes,Pookie,Nuclear,7,Optional,Yes,No,Virus,Shehr ka Launda,10th Pass,29,35521787.0,492.21,10
Private Job,Yes,Not Pookie,Joint,0,Optional,Yes,No,Virus,Shehr ka Launda,12th Pass,30,338727.0,0.0,2
Government Job,No,Not Pookie,Alone,9,Obese,No,No,Chill,Shehr ka Launda,12th Pass,24,23575464.0,338.86,7
Government Job,No,Not Pookie,Joint,5,Obese,No,No,Virus,Shehr ka Launda,12th Pass,22,23116053.0,350.97,6
Private Job,Yes,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,22,1081087.0,11.88,0
Freelancer,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,38,3871126.0,61.34,2
Self-employed,No,Pookie,Nuclear,8,Obese,No,No,Chill,Shehr ka Launda,10th Pass,33,22609276.0,244.9,6
Private Job,Yes,Not Pookie,Nuclear,1,Obese,Yes,No,Virus,Shehr ka Launda,10th Pass,31,4134064.0,47.78,2
Freelancer,No,Not Pookie,Joint,1,Obese,Yes,No,Chill,Gaon ka Chhora,10th Pass,25,1134333.0,13.18,3
Unemployed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,23,0.0,0.0,0
Private Job,No,Not Pookie,Joint,2,Obese,No,No,Chill,Shehr ka Launda,12th Pass,24,1353285.0,16.1,0
PrivateJobx,No,Not Pookie,NULL,10,1000000000000,No,No,Chill,Gaon ka Chhora,Graduate+,39,48276180.0,679.91,7
Private Job,Yes,Not Pookie,Alone,4,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,18,10214819.0,111.8,2
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,10th Pass,31,1143026.0,13.84,2
Business,Yes,Not Pookie,Joint,9,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,31,42925874.0,488.04,10
Private Job,No,Not Pookie,Nuclear,1,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,24,6011157.0,72.04,4
Freelancer,Yes,Not Pookie,Joint,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,23,9448.0,2.53,3
Freelancer,No,Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,26,3245938.0,33.92,2
five lakh,Yes,"['weird', 123]",Alone,2,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,34,0.0,0.25,0
Private Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,27,10940679.0,141.96,4
Private Job,Yes,Not Pookie,Joint,1,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,30,173454.0,3.12,1
Freelancer,Yes,Pookie,Joint,2,Passionate,Yes,No,Virus,Gaon ka Chhora,10th Pass,35,4914671.0,49.26,5
Unemployed,No,Not Pookie,Joint,3,Obese,No,No,Chill,Shehr ka Launda,Graduate+,31,0.0,0.63,0
Private Job,No,Not Pookie,Nuclear,2,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,26,79078.0,0.0,3
Self-employed,No,Not Pookie,Nuclear,0,Passionate,Yes,No,Chill,Gaon ka Chhora,12th Pass,26,283332.0,5.52,3
Freelancer,Yes,Not Pookie,Alone,3,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,19225983.0,239.34,7
Unemployed,No,Not Pookie,Alone,0,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,29,0.0,0.36,0
Private Job,Yes,Not Pookie,Joint,4,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,22,22771591.0,309.26,7
Government Job,No,Pookie,Nuclear,2,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,22,5993667.0,65.85,5
Freelancer,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,22,12217668.0,173.2,5
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,34,21085218.0,266.97,6
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,0.0,0.0,0
Private Job,Yes,Not Pookie,Joint,10,Optional,No,No,Chill,Shehr ka Launda,12th Pass,29,44842538.0,473.53,9
Private Job,No,Not Pookie,Joint,3,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,32,4011.0,0.73,2
Freelancer,Yes,Not Pookie,Joint,1,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,32,471709.0,3.97,3
Freelancer,No,Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,26,7390511.0,92.66,4
Business,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,24,2469.0,0.0,4
Business,Yes,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,31,146.0,0.0,2
Private Job,No,Pookie,Joint,9,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,29,34667225.0,495.85,9
Private Job,Yes,Not Pookie,Nuclear,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,35,29894536.0,392.4,8
Private Job,1000000000,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,35,1456051.0,14.03,2
Unemployed,Yes,Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,31,0.0,3.0,0
Government Job,Yes,Pookie,1000000000,0,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,27,9262.0,0.0,4
Freelancer,Yes,Not Pookie,Joint,1,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,27,1551023.0,21.31,3
Unemployed,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,27,0.0,0.0,0
Private Job,No,Not Pookie,Joint,9,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,30,31949298.0,426.54,8
Government Job,Yes,Pookie,Nuclear,1,Optional,No,Yes,Chill,Gaon ka Chhora,12th Pass,28,2248422.0,32.69,3
Private Job,Yes,Not Pookie,Nuclear,2,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,25,9652527.0,127.04,6
Private Job,Yes,Not Pookie,Joint,3,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,32,15405533.0,176.42,6
Self-employed,Yes,Not Pookie,Alone,2,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,33,309264.0,0.49,4
Private Job,Yes,Pookie,Joint,1,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,29,659738.0,9.35,3
Self-employed,Yes,Not Pookie,Joint,4,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,32,15693080.0,198.23,8
Private Job,Yes,Not Pookie,Nuclear,5,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,25,20531730.0,234.33,6
Business,Yes,Not Pookie,Joint,5,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,28,23356411.0,329.0,8
Business,Yes,Not Pookie,Joint,9,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,28,39959447.0,457.66,10
Unemployed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,27,0.0,0.0,0
Unemployed,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,0.0,0.25,0
Unemployed,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,28,0.0,0.0,0
Business,No,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,34,8567852.0,85.95,5
Private Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,28,1670805.0,22.15,2
Private Job,No,Pookie,Alone,3,Obese,No,No,Chill,Shehr ka Launda,Graduate+,27,13520995.0,184.56,4
Unemployed,No,Not Pookie,Joint,0,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,27,0.0,0.0,0
Unemployed,No,Not Pookie,Joint,0,Optional,No,No,Chill,99999,1000000000000,32,0.0,2.71,0
"['weird', 123]",Yes,Not Pookie,Nuclear,0,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,29,2180982.0,28.58,1
Unemployed,Yes,Not Pookie,Nuclear,0,Obese,Yes,No,Chill,Shehr ka Launda,10th Pass,26,0.0,0.88,0
Private Job,Yes,Not Pookie,Nuclear,3,Obese,No,No,Chill,Shehr ka Launda,10th Pass,27,7340603.0,86.46,4
Business,Yes,Not Pookie,Joint,2,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,22,12292880.0,155.23,5
Private Job,Yes,Not Pookie,Nuclear,4,Optional,No,No,Virus,Shehr ka Launda,12th Pass,28,18623043.0,220.13,5
Unemployed,Yes,Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,Uneducated,33,0.0,3.71,0
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,29,3105000.0,36.28,4
Business,Yes,Not Pookie,Joint,0,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,21,938784.0,15.92,2
Private Job,No,Not Pookie,Nuclear,1,Optional,Yes,No,Virus,Gaon ka Chhora,10th Pass,32,1262015.0,22.42,2
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,27,0.0,1.3,1
Private Job,Yes,Not Pookie,Nuclear,4,Optional,five lakh,N/A,Virus,Shehr ka Launda,Graduate+,21,16868932.0,180.79,5
Unemployed,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,33,0.0,0.0,0
Government Job,No,Pookie,Joint,2,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,25,28148.0,0.0,5
Government Job,Yes,Not Pookie,Joint,6,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,30,32695537.0,485.25,10
Freelancer,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,22,44941.0,3.97,2
Business,No,Not Pookie,Joint,2,Obese,Yes,No,Chill,Shehr ka Launda,Graduate+,25,11803625.0,146.1,6
Private Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,26,313507.0,4.35,2
Private Job,No,Not Pookie,Nuclear,3,Optional,No,No,Virus,Shehr ka Launda,Graduate+,27,15021823.0,206.43,4
Private Job,Yes,Pookie,Joint,9,Optional,Yes,No,Chill,Shehr ka Launda,10th Pass,30,39219214.0,497.32,10
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,20,1461910.0,20.19,2
Private Job,Yes,Not Pookie,Joint,0,Optional,Yes,No,Virus,Shehr ka Launda,10th Pass,20,937250.0,10.18,1
Government Job,Yes,Not Pookie,Joint,8,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,29,25724706.0,362.69,8
Government Job,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Gaon ka Chhora,Uneducated,30,386575.0,7.77,2
Business,Yes,Not Pookie,Nuclear,3,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,28,12388730.0,168.08,6
Unemployed,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,26,0.0,1.5,0
Unemployed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,37,0.0,0.0,0
Business,Yes,Not Pookie,Nuclear,3,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,26,8699066.0,106.33,7
Government Job,Yes,Not Pookie,Joint,10,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,27,43331240.0,492.5,10
Private Job,Yes,Not Pookie,Joint,2,Optional,No,No,Virus,Shehr ka Launda,12th Pass,29,14181376.0,156.08,4
Private Job,No,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,37,1465461.0,20.31,0
Unemployed,No,Not Pookie,Alone,1,Optional,Yes,No,Virus,Gaon ka Chhora,12th Pass,33,0.0,0.61,0
Private Job,No,Not Pookie,Nuclear,3,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,32,8195779.0,86.55,5
Freelancer,Yes,Not Pookie,Joint,2,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,33,97279.0,1.07,2
Unemployed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,27,0.0,1.59,0
Private Job,Yes,Not Pookie,Alone,5,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,33,10384703.0,116.52,6
Government Job,No,Not Pookie,Joint,7,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,22,16473159.0,228.82,5
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,34,4346500.0,56.08,3
Private Job,Yes,Not Pookie,Nuclear,11,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,19,49786336.0,546.05,9
Self-employed,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,22,5640068.0,83.04,5
Freelancer,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,27,2707457.0,40.84,3
Government Job,No,Not Pookie,Joint,7,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,29,34229498.0,346.14,9
Self-employed,No,Not Pookie,Joint,3,Passionate,Yes,No,Virus,Gaon ka Chhora,10th Pass,18,17919064.0,185.26,6
Freelancer,No,Not Pookie,Joint,10,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,26,48932266.0,574.72,8
Freelancer,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,22,416620.0,2.63,2
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,10th Pass,31,172702.0,3.77,1
Private Job,Yes,Not Pookie,Alone,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,36,487243.0,5.07,1
Private Job,No,Not Pookie,Nuclear,4,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,29,24447871.0,348.3,5
Unemployed,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,23,0.0,0.0,0
Private Job,No,Not Pookie,Nuclear,4,Optional,No,Yes,Virus,Shehr ka Launda,12th Pass,29,17125711.0,227.24,3
Unemployed,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,35,0.0,3.54,0
Private Job,No,Not Pookie,Joint,5,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,29,126988.0,3.65,1
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,28,1038752.0,15.66,2
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,21,3072224.0,40.23,2
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,30,186555.0,3.29,1
Private Job,Yes,Not Pookie,Joint,1,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,33,8891536.0,112.47,4
Private Job,No,Pookie,Alone,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,28,17031206.0,172.75,5
Freelancer,No,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,31,4311051.0,48.87,2
Private Job,No,Not Pookie,Nuclear,9,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,27,42334746.0,492.32,6
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,30,27009.0,0.0,1
Unemployed,Yes,Not Pookie,Joint,1,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,30,0.0,0.23,1
Private Job,Yes,Pookie,Nuclear,4,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,30,8704160.0,94.06,5
Business,Yes,Not Pookie,"['weird', 123]",1,Optional,No,No,Virus,Shehr ka Launda,10th Pass,32,9549960.0,99.88,5
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,289304.0,2.53,1
Government Job,No,Pookie,Joint,0,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,29,1017850.0,10.76,4
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,12th Pass,26,5921546.0,69.25,2
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,25,28.0,1.06,2
Unemployed,Yes,Not Pookie,Joint,3,Obese,No,No,Chill,Shehr ka Launda,10th Pass,21,0.0,2.43,0
Self-employed,No,Not Pookie,Joint,4,Obese,No,No,Chill,Shehr ka Launda,Graduate+,31,24787772.0,253.96,6
Private Job,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Gaon ka Chhora,Uneducated,24,124778.0,2.79,2
Private Job,No,Not Pookie,Joint,5,Obese,No,Yes,Chill,Gaon ka Chhora,10th Pass,28,24645756.0,322.52,4
Private Job,Yes,Not Pookie,Joint,1,Obese,Yes,No,Chill,Shehr ka Launda,Graduate+,21,34963.0,0.0,3
Private Job,No,Not Pookie,Joint,9,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,34,48382242.0,664.36,6
Government Job,No,Not Pookie,Nuclear,7,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,32,18336295.0,188.82,7
Private Job,No,Not Pookie,Nuclear,2,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,27,10571896.0,148.09,6
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,31,7344171.0,77.7,5
Self-employed,No,Not Pookie,Joint,7,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,30,39831926.0,505.23,10
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,39,4333655.0,58.24,2
Government Job,Yes,Pookie,Joint,0,Passionate,Yes,No,Chill,Shehr ka Launda,10th Pass,28,2179858.0,24.38,6
Private Job,No,Not Pookie,Nuclear,9,Optional,"['weird', 123]",No,Chill,Gaon ka Chhora,Graduate+,22,47166487.0,656.07,8
Business,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,36,3204650.0,46.3,2
Unemployed,No,Not Pookie,Alone,0,Passionate,No,Yes,Virus,Gaon ka Chhora,12th Pass,27,0.0,0.91,0
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,29,2627.0,0.0,1
Private Job,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,27,1076737.0,14.71,1
Private Job,Yes,Not Pookie,Nuclear,7,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,34,31243264.0,362.11,10
Private Job,No,Not Pookie,Nuclear,4,Optional,No,Yes,Chill,Gaon ka Chhora,12th Pass,26,21703191.0,298.36,4
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,10th Pass,29,4815009.0,64.6,3
Private Job,No,Not Pookie,Joint,3,Optional,No,No,Chill,Shehr ka Launda,10th Pass,28,15570.0,0.43,1
Private Job,No,Not Pookie,Alone,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,22,28817.0,1.23,0
"['weird', 123]",Yes,Not Pookie,Nuclear,6,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,28,-1,250.43,8
Freelancer,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,24,339744.0,6.39,2
Self-employed,No,Not Pookie,Nuclear,2,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,33,13199506.0,148.34,3
Unemployed,No,Not Pookie,Joint,3,Obese,No,No,Chill,Shehr ka Launda,12th Pass,28,0.0,0.0,0
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,31,0.0,3.45,0
Unemployed,Yes,Not Pookie,Alone,2,Optional,No,Yes,Chill,Shehr ka Launda,12th Pass,29,0.0,0.0,0
Business,No,Not Pookie,Joint,2,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,29,8255122.0,96.63,6
Freelancer,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,29,1192566.0,16.4,2
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,29,78982.0,0.0,1
Government Job,Yes,Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,26,50922.0,5.33,3
Business,Yes,Not Pookie,Nuclear,3,Optional,No,No,Virus,Shehr ka Launda,12th Pass,25,301950.0,2.68,3
Private Job,Yes,Not Pookie,Nuclear,1,Passionate,No,Yes,Chill,Shehr ka Launda,Graduate+,34,6175289.0,60.57,4
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,33,314112.0,6.68,2
Self-employed,No,Not Pookie,Joint,3,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,23,10350587.0,127.23,6
Private Job,No,Not Pookie,Joint,0,Passionate,Yes,No,Virus,Gaon ka Chhora,12th Pass,22,2214964.0,36.52,2
Private Job,No,Not Pookie,Joint,2,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,20,1644205.0,24.21,2
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,12th Pass,30,2794442.0,31.46,2
Freelancer,Yes,Not Pookie,Joint,2,Obese,No,No,Chill,Shehr ka Launda,12th Pass,29,8310974.0,121.75,4
Unemployed,No,Not Pookie,Alone,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,36,0.0,0.0,0
Unemployed,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,12th Pass,19,0.0,0.0,0
Private Job,No,Pookie,Joint,4,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,26,14127680.0,166.62,4
Unemployed,Yes,Not Pookie,Nuclear,4,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,27,0.0,0.0,1
Private Job,Yes,Not Pookie,Alone,5,Obese,No,No,Virus,Shehr ka Launda,12th Pass,33,21158377.0,216.59,5
Private Job,Yes,Not Pookie,Nuclear,7,Obese,No,No,Virus,Shehr ka Launda,12th Pass,25,29691253.0,378.72,6
Self-employed,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,31,533324.0,4.89,2
Private Job,Yes,Not Pookie,Alone,11,Obese,Yes,No,Chill,Shehr ka Launda,Graduate+,23,40762955.0,589.75,10
Business,Yes,Not Pookie,Nuclear,3,Optional,No,No,Chill,Shehr ka Launda,12th Pass,33,12008134.0,132.74,6
Government Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,1747.0,0.0,3
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,26,0.0,1.91,0
Unemployed,No,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Shehr ka Launda,10th Pass,27,0.0,1.67,0
Private Job,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Virus,Shehr ka Launda,Graduate+,32,1281600.0,20.4,3
Private Job,Yes,Not Pookie,Joint,3,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,26,11607057.0,126.35,4
Private Job,No,NULL,Nuclear,2,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,29,N/A,62.17,3
Private Job,No,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,23,128355.0,3.97,0
Private Job,Yes,Not Pookie,Alone,0,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,31,2002943.0,23.68,4
Private Job,Yes,Not Pookie,Alone,6,Optional,No,No,Virus,Shehr ka Launda,12th Pass,18,15796335.0,158.42,5
Government Job,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,24,9205839.0,132.69,6
Freelancer,No,Not Pookie,99999,5,Obese,Yes,No,Virus,Gaon ka Chhora,12th Pass,-940,21184696.0,302.78,7
Private Job,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,24,107224.0,1.53,2
Business,Yes,Not Pookie,Alone,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,26,6351001.0,83.06,6
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,393729.0,5.99,2
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,26,474157.0,5.14,1
Self-employed,Yes,Not Pookie,Joint,12,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,34,46741038.0,684.7,9
Freelancer,Yes,Not Pookie,Joint,10,Obese,No,No,Virus,Gaon ka Chhora,Uneducated,26,48988406.0,683.25,8
Government Job,Yes,Not Pookie,Nuclear,4,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,30,1160845.0,17.71,4
Freelancer,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,10th Pass,41,214405.0,2.2,1
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,22,3411503.0,43.58,1
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Uneducated,36,331037.0,4.58,1
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,Yes,Chill,Shehr ka Launda,Graduate+,33,1689041.0,17.49,1
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,31,0.0,0.59,0
Private Job,No,Not Pookie,Nuclear,4,Obese,No,No,Virus,Shehr ka Launda,Graduate+,33,22263568.0,233.41,4
Business,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,24,134.0,0.0,4
